name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Strummer Boy,Dusty Decks,0.681,0.36,11,-9.901,0,0.159,0.926,0.95,0.124,0.417,84.896,129820,4,2022
A Thousand Years,Mount Eminest,0.497,0.382,5,-11.109,1,0.0285,0.0747,0.924,0.124,0.107,145.445,141153,3,2022
a sign from her,Mau,0.8,0.298,1,-10.325,1,0.0595,0.703,0.381,0.121,0.0385,75.077,128413,4,2022
Count Basic,Platinum Dust,0.677,0.31,10,-10.002,0,0.13,0.513,0.885,0.589,0.235,148.117,108069,4,2022
Beach Date,Guzimi,0.683,0.467,9,-14.021,1,0.0577,0.804,0.897,0.113,0.307,81.002,130234,4,2022
Forbidden Trail,Shierro,0.606,0.419,5,-9.548,0,0.0451,0.276,0.862,0.188,0.235,80.032,151066,4,2022
Proti Fora,No Spirit,0.639,0.597,0,-8.885,0,0.0474,0.593,0.878,0.0982,0.173,92.969,169413,4,2022
Tendrils,Mr. Käfer,0.638,0.226,5,-15.548,0,0.0805,0.528,0.918,0.126,0.65,79.997,125250,4,2022
Don't Forget,Phlocalyst,0.65,0.252,0,-10.939,1,0.046,0.522,0.879,0.106,0.332,170.028,148000,4,2022
Sneaking in the long run,Bamboozled Bumblebee,0.614,0.377,9,-14.557,0,0.0955,0.925,0.918,0.0877,0.467,83.603,138571,4,2022
Let Her Go,Oilix,0.677,0.327,6,-14.561,0,0.035,0.782,0.872,0.124,0.45,86.98,124138,4,2022
Tiembos,Living Room,0.758,0.554,10,-10.164,0,0.233,0.597,0.856,0.12,0.881,171.928,102107,4,2022
Idyllic,Fthmlss,0.548,0.281,1,-17.057,0,0.0412,0.554,0.624,0.105,0.0812,77.123,224000,4,2022
Lepricorn Ride,Sebastian Flecci,0.795,0.449,1,-9.037,0,0.205,0.741,0.395,0.108,0.168,159.906,123000,4,2022
Something in the Air,Thymes,0.382,0.206,9,-17.066,0,0.0337,0.928,0.872,0.105,0.331,164.109,110769,5,2022
Rising Moon,Mr. Käfer,0.621,0.473,10,-12.516,0,0.11,0.751,0.92,0.128,0.609,80.989,177938,4,2022
Milky Way,Elffire,0.731,0.184,3,-13.763,0,0.321,0.125,0.832,0.111,0.339,160.24,108000,4,2022
Orange Sunshine,Mama Aiuto,0.676,0.51,6,-7.901,0,0.088,0.0699,0.811,0.0978,0.633,166.286,118584,4,2022
One Life,Living Room,0.742,0.448,4,-10.879,0,0.0369,0.735,0.746,0.126,0.465,86.043,101163,4,2022
Rivers,Dr. Dundiff,0.756,0.328,0,-10.415,0,0.0749,0.466,0.869,0.148,0.129,100.035,118347,4,2022
